,0
0,0.4420926353469289
1,0.4420926353469289
2,0.4420926353469289
3,0.4420926353469289
4,0.4420926353469289
5,0.4420926353469289
6,0.4420926353469289
7,0.4420926353469289
8,0.4420926353469289
9,0.4420926353469289
10,0.4420926353469289
11,0.4420926353469289
12,0.4420926353469289
13,0.4420926353469289
14,0.4420926353469289
15,0.4420926353469289
16,0.42549576180734
17,0.42549576180734
18,0.42549576180734
19,0.42549576180734
20,0.40385374116203904
21,0.40385374116203904
22,0.3946596378171384
23,0.3946596378171384
24,0.3946596378171384
25,0.3946596378171384
26,0.3946596378171384
27,0.3946596378171384
28,0.3946596378171384
29,0.3946596378171384
30,0.3946596378171384
31,0.3946596378171384
32,0.3946596378171384
33,0.3946596378171384
34,0.3946596378171384
35,0.3946596378171384
36,0.3946596378171384
37,0.3946596378171384
38,0.3946596378171384
39,0.3946596378171384
40,0.3946596378171384
41,0.3946596378171384
42,0.3946596378171384
43,0.3946596378171384
44,0.3946596378171384
45,0.3946596378171384
46,0.3946596378171384
47,0.3946596378171384
48,0.3946596378171384
49,0.3946596378171384
50,0.3946596378171384
51,0.3946596378171384
52,0.3946596378171384
53,0.3946596378171384
54,0.3946596378171384
55,0.3946596378171384
56,0.3946596378171384
57,0.3946596378171384
58,0.3946596378171384
59,0.3946596378171384
60,0.3946596378171384
61,0.3946596378171384
62,0.3946596378171384
63,0.3946596378171384
64,0.3946596378171384
65,0.3946596378171384
66,0.3946596378171384
67,0.3946596378171384
68,0.3946596378171384
69,0.3946596378171384
70,0.3946596378171384
71,0.3946596378171384
72,0.3946596378171384
73,0.3946596378171384
74,0.3946596378171384
75,0.3946596378171384
76,0.3946596378171384
77,0.3946596378171384
78,0.3946596378171384
79,0.3946596378171384
80,0.3946596378171384
81,0.3946596378171384
82,0.3946596378171384
83,0.3946596378171384
84,0.3946596378171384
85,0.3946596378171384
86,0.3946596378171384
87,0.3946596378171384
88,0.3946596378171384
89,0.3946596378171384
90,0.3946596378171384
91,0.3946596378171384
92,0.3946596378171384
93,0.3946596378171384
94,0.3946596378171384
95,0.3946596378171384
96,0.3946596378171384
97,0.3946596378171384
98,0.3946596378171384
99,0.3946596378171384
100,0.3946596378171384
101,0.3946596378171384
102,0.3946596378171384
103,0.3946596378171384
104,0.3946596378171384
105,0.3946596378171384
106,0.3946596378171384
107,0.3946596378171384
108,0.3946596378171384
109,0.3946596378171384
110,0.3946596378171384
111,0.3946596378171384
112,0.3946596378171384
113,0.3946596378171384
114,0.3946596378171384
115,0.3946596378171384
116,0.3946596378171384
117,0.3946596378171384
118,0.3946596378171384
119,0.3946596378171384
120,0.3946596378171384
121,0.3946596378171384
122,0.3946596378171384
123,0.3946596378171384
124,0.3946596378171384
125,0.3946596378171384
126,0.3946596378171384
127,0.3946596378171384
128,0.3946596378171384
129,0.3946596378171384
130,0.3946596378171384
131,0.3946596378171384
132,0.3946596378171384
133,0.3946596378171384
134,0.3946596378171384
135,0.3946596378171384
136,0.3946596378171384
137,0.3946596378171384
138,0.3916743744101175
139,0.3916743744101175
140,0.3916743744101175
141,0.3916743744101175
142,0.3916743744101175
143,0.3916743744101175
144,0.3916743744101175
145,0.3916743744101175
146,0.3916743744101175
147,0.3916743744101175
148,0.3916743744101175
149,0.3916743744101175
150,0.3916743744101175
151,0.3916743744101175
152,0.3916743744101175
153,0.3916743744101175
154,0.3916743744101175
155,0.3916743744101175
156,0.3916743744101175
157,0.3916743744101175
158,0.3916743744101175
159,0.3916743744101175
160,0.3916743744101175
161,0.3882306519097904
162,0.3882306519097904
