dt error
1.010101010101010083e-01 2.937770160997166258e-01
4.672897196261682068e-02 5.383845057226332997e-02
2.159827213822894040e-02 1.062502864995762408e-02
1.001001001001000992e-02 2.193755019308518683e-03
4.644681839294008754e-03 4.620203456928706487e-04
2.155172413793103418e-03 9.769072732979111606e-05
1.000100010001000106e-03 2.051563202654094198e-05
4.641879032632409701e-04 4.211139859044976674e-06
2.154522342396690668e-04 8.168569487487786773e-07
1.000010000100001051e-04 1.377463587637350884e-07
