dt error
1.010101010101010083e-01 1.305341252773040139e-02
4.672897196261682068e-02 2.822687173487103962e-03
2.159827213822894040e-02 6.290448001822213087e-04
1.001001001001000992e-02 1.386348627230304942e-04
4.644681839294008754e-03 3.013441088883794805e-05
2.155172413793103418e-03 6.470533442382020439e-06
1.000100010001000106e-03 1.368702040593916536e-06
4.641879032632409701e-04 2.818955957550883795e-07
2.154522342396690668e-04 5.476670228432567455e-08
1.000010000100001051e-04 9.242029364031623118e-09
