dt error
1.010101010101010083e-01 2.061643472293406276e+00
4.672897196261682068e-02 2.397599821931661879e-02
2.159827213822894040e-02 6.090690361826300858e-03
1.001001001001000992e-02 1.395848775631591820e-03
4.644681839294008754e-03 3.080836687874288771e-04
2.155172413793103418e-03 6.656721521780539774e-05
1.000100010001000106e-03 1.411955509178497437e-05
4.641879032632409701e-04 2.911678353978430778e-06
2.154522342396690668e-04 5.660110380389937745e-07
1.000010000100001051e-04 9.554147473167518001e-08
