dt error
1.010101010101010083e-01 1.435706292809246776e+00
4.672897196261682068e-02 3.259685231171705055e-03
2.159827213822894040e-02 6.475016081974871440e-04
1.001001001001000992e-02 3.300074086887150315e-04
4.644681839294008754e-03 9.818354635982018408e-05
2.155172413793103418e-03 2.402236620735465067e-05
1.000100010001000106e-03 5.383774492884185747e-06
4.641879032632409701e-04 1.138277438972323807e-06
2.154522342396690668e-04 2.238291108014323072e-07
1.000010000100001051e-04 3.798292791401536306e-08
