dt error
1.010101010101010083e-01 4.961917921906700002e-01
4.672897196261682068e-02 1.088040846520477167e-01
2.159827213822894040e-02 2.340256526764949996e-02
1.001001001001000992e-02 5.030886712475979294e-03
4.644681839294008754e-03 1.079640512158253074e-03
2.155172413793103418e-03 2.303198237241232960e-04
1.000100010001000106e-03 4.856679666209728907e-05
4.641879032632409701e-04 9.988132576577157806e-06
2.154522342396690668e-04 1.939197924460955846e-06
1.000010000100001051e-04 3.271424020567792468e-07
