dt error
1.010101010101010083e-01 6.496969334589541845e-02
4.672897196261682068e-02 1.560939208744560602e-02
2.159827213822894040e-02 3.457904560699720520e-03
1.001001001001000992e-02 7.527292451459111078e-04
4.644681839294008754e-03 1.624752705375875905e-04
2.155172413793103418e-03 3.474010854542797233e-05
1.000100010001000106e-03 7.334144747073167991e-06
4.641879032632409701e-04 1.509140368227690487e-06
2.154522342396690668e-04 2.930722331484503229e-07
1.000010000100001051e-04 4.944691323061078947e-08
