dt error
1.010101010101010083e-01 2.972228437547963509e-01
4.672897196261682068e-02 1.289982987314641782e-01
2.159827213822894040e-02 1.579949208307951380e-03
1.001001001001000992e-02 1.512266249115157279e-03
4.644681839294008754e-03 2.769493358423247287e-04
2.155172413793103418e-03 5.514369386672157702e-05
1.000100010001000106e-03 1.126177461285848835e-05
4.641879032632409701e-04 2.281749322818882320e-06
2.154522342396690668e-04 4.399303588087377648e-07
1.000010000100001051e-04 7.397652490581663187e-08
